filename text
C0001.wav 妈妈在厨房煮汤，香味飘满整个房屋。
C0002.wav 爸爸修理自行车链条，工具摆了满地。
C0003.wav 弟弟趴在沙发看漫画书，笑得很开心。
C0004.wav 妹妹用积木搭城堡，还加了小旗子。
C0005.wav 奶奶浇花时发现新芽冒出来。
C0006.wav 爷爷戴着老花镜读报纸新闻。
C0007.wav 哥哥玩拼图少了一块，在到处找。
C0008.wav 姐姐弹钢琴曲调悠扬动听。
C0009.wav 全家围桌吃饭时聊周末计划。
C0010.wav 空调突然不制冷，我检查一下遥控器。
C0011.wav 包子馅儿太咸，配粥吃刚好。
C0012.wav 面条煮太久有点软，下次注意。
C0013.wav 超市西瓜打折，买半个尝尝。
C0014.wav 咖啡不加糖，提神效果更好。
C0015.wav 煎蛋边缘焦脆，蛋黄还是流心。
C0016.wav 青菜炒蒜蓉，简单又健康。
C0017.wav 火锅底料选微辣，别太刺激。
C0018.wav 烤鱼外皮酥脆，鱼肉很嫩。
C0019.wav 饭后吃苹果助消化。
C0020.wav 打印机卡纸，同事帮忙处理。
C0021.wav 会议纪要重点用红笔标出来。
C0022.wav 客户反馈意见写进报告里。
C0023.wav 键盘按键不灵，换新电池试试。
C0024.wav 午休时间趴桌子睡十分钟。
C0025.wav 快递放前台，记得去拿。
C0026.wav 项目进度比预期慢，抓紧些。
C0027.wav 电脑死机，文件没保存真麻烦。
C0028.wav 同事分享饼干，味道不错。
C0029.wav 下班前关窗户，别忘拔插座。
C0030.wav 地铁人多，扶稳栏杆别摔倒。
C0031.wav 公交车改道，站牌贴了通知。
C0032.wav 骑共享单车记得锁车还桩。
C0033.wav 路口红绿灯故障，交警指挥。
C0034.wav 出租车司机绕远路，真生气。
C0035.wav 火车晚点，候车室等好久。
C0036.wav 导航提示前方三百米右转。
C0037.wav 电动车充电桩被占满。
C0038.wav 安全带系好，高速路查得严。
C0039.wav 斑马线礼让行人，司机做得对。
C0040.wav 货架顶层商品够不着，找店员。
C0041.wav 促销牛奶买二送一，挺划算。
C0042.wav 试衣间排队，前面还有三人。
C0043.wav 扫码付款网络慢，换现金吧。
C0044.wav 袜子买纯棉，透气不磨脚。
C0045.wav 菜市场鱼新鲜，活蹦乱跳。
C0046.wav 收银员算错钱，重新核对。
C0047.wav 网购包裹破损，申请退货。
C0048.wav 水果摊香蕉熟透，尽快吃完。
C0049.wav 超市推车卡硬币才能用。
C0050.wav 暴雨突袭，阳台衣服全湿透。
C0051.wav 闷热无风，空调开整夜。
C0052.wav 天气预报说明天降温十度。
C0053.wav 冰雹砸车顶，响声像打鼓。
C0054.wav 彩虹跨过楼顶，快拍照。
C0055.wav 雾霾严重，出门戴口罩。
C0056.wav 柳絮飘飞，鼻子痒打喷嚏。
C0057.wav 雷声轰隆，狗躲沙发底下。
C0058.wav 积雪压断树枝，小心路过。
C0059.wav 春风拂面，公园放风筝。
C0060.wav 扭伤脚踝，冰敷消肿。
C0061.wav 体检报告显示胆固醇偏高。
C0062.wav 失眠数羊，越数越清醒。
C0063.wav 牙医建议半年洗次牙。
C0064.wav 伤口结痂别抠，会留疤。
C0065.wav 跑步膝盖疼，换双软底鞋。
C0066.wav 中药太苦，捏鼻子灌下去。
C0067.wav 花粉过敏，眼睛红肿发痒。
C0068.wav 针灸扎后背，酸胀感明显。
C0069.wav 铅笔削太尖，写字容易断。
C0070.wav 背单词用卡片，效率更高。
C0071.wav 数学题不会，同桌耐心教。
C0072.wav 图书馆借书超期要罚款。
C0073.wav 实验课试管破裂，小心玻璃。
C0074.wav 作文写跑题，重写一遍。
C0075.wav 历史年代记混，再翻笔记。
C0076.wav 书包侧兜水杯漏，书本湿透。
C0077.wav 考试涂错答题卡，真粗心。
C0078.wav 老师板书字太小，看不清。
C0079.wav 姑姑养的小乌龟爬到沙发底下。
C0080.wav 叔叔给阳台的多肉植物换盆。
C0081.wav 婶婶整理衣柜，找出旧围巾。
C0082.wav 堂哥用蜡笔画满整张白纸。
C0083.wav 外公在院子里修剪葡萄藤。
C0084.wav 外婆用吸尘器清理地毯灰尘。
C0085.wav 舅舅组装新书架，螺丝拧歪了。
C0086.wav 阿姨织毛衣，毛线团滚到墙角。
C0087.wav 全家一起包饺子，馅儿不够用。
